"fecha","hora","contexto","componente","nombre","user id","descripcion","module id"
"26/07/2017","10:46","Curso: FC Grupo E","Registros","Informe de registros visto","68626","viewed the log report for the course","NULL"
"26/07/2017","10:45","Curso: FC Grupo E","Sistema","Actividad reciente vista","68626","viewed the recent activity report in the course","NULL"
"26/07/2017","10:44","Curso: FC Grupo E","Sistema","Actividad reciente vista","68626","viewed the recent activity report in the course","NULL"
"26/07/2017","10:44","Curso: FC Grupo E","Sistema","Curso visto","68626","viewed the section number '-1' of the course","NULL"
"26/07/2017","10:44","Wiki: Apuntes de clase","Wiki","MÃ³dulo de curso visto","68626","viewed the 'wiki' activity with course","2669837"
"26/07/2017","10:42","Curso: FC Grupo E","Actividad del curso","Informe de actividad visto","68626","viewed the outline activity report for the course","NULL"
"26/07/2017","10:42","Curso: FC Grupo E","Sistema","Curso visto","68626","viewed the section number '-1' of the course","NULL"
"22/07/2017","10:58","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '3' of the course","NULL"
"22/07/2017","10:58","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '-1' of the course","NULL"
"01/07/2017","10:58","Curso: FC Grupo E","Sistema","Curso visto","398543","viewed the section number '-1' of the course","NULL"
"28/06/2017","10:21","Curso: FC Grupo E","Sistema","Curso visto","369811","viewed the section number '5' of the course","NULL"
"28/06/2017","10:21","Curso: FC Grupo E","Sistema","Curso visto","369811","viewed the section number '4' of the course","NULL"
"28/06/2017","10:21","Curso: FC Grupo E","Sistema","Curso visto","369811","viewed the section number '3' of the course","NULL"
"28/06/2017","10:21","Curso: FC Grupo E","Sistema","Curso visto","369811","viewed the section number '2' of the course","NULL"
"28/06/2017","10:21","Curso: FC Grupo E","Sistema","Curso visto","369811","viewed the section number '1' of the course","NULL"
"28/06/2017","10:21","Curso: FC Grupo E","Sistema","Curso visto","369811","viewed the section number '-1' of the course","NULL"
"27/06/2017","10:34","Curso: FC Grupo E","Sistema","Curso visto","347325","viewed the section number '-1' of the course","NULL"
"27/06/2017","10:34","Curso: FC Grupo E","Sistema","Curso visto","347325","viewed the section number '3' of the course","NULL"
"27/06/2017","10:34","Curso: FC Grupo E","Sistema","Curso visto","347325","viewed the section number '5' of the course","NULL"
"27/06/2017","10:33","Curso: FC Grupo E","Sistema","Curso visto","347325","viewed the section number '3' of the course","NULL"
"27/06/2017","10:33","Curso: FC Grupo E","Sistema","Curso visto","347325","viewed the section number '5' of the course","NULL"
"27/06/2017","10:33","Curso: FC Grupo E","Sistema","Curso visto","347325","viewed the section number '3' of the course","NULL"
"27/06/2017","10:33","Curso: FC Grupo E","Sistema","Curso visto","347325","viewed the section number '-1' of the course","NULL"
